Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-03-28 08:04:03,false,"St Paul Running","6.13","647","01:31:25","164","185","--","151","188","14:55","6:17","178","177","0.71","0.0","--","--","--","13,814","No","00:01:20.6","7","01:31:23","01:31:25","860","899"
Running,2026-03-25 16:15:49,false,"Falcon Heights Running","5.76","627","01:27:49","157","187","--","148","182","15:14","8:59","340","342","0.71","0.0","--","--","--","12,990","No","00:12:05","6","01:27:48","01:27:49","889","1,007"
Running,2026-03-23 17:47:24,false,"St Paul Running","4.01","426","00:58:14","155","176","--","151","176","14:31","6:25","189","193","0.74","0.0","--","--","--","8,776","No","00:00:02.1","6","00:58:11","00:58:14","889","1,015"
Running,2026-03-18 18:38:31,false,"Falcon Heights Running","4.16","461","01:01:52","165","181","--","149","176","14:52","7:58","206","207","0.73","0.0","--","--","--","9,186","No","00:02:05.3","5","01:01:47","01:01:52","891","1,058"
Running,2026-03-16 18:52:18,false,"Falcon Heights Running","2.68","297","00:40:28","163","181","--","152","170","15:07","9:51","129","128","0.70","0.0","--","--","--","6,142","No","00:09:33.4","3","00:40:26","00:40:28","891","995"
Running,2026-03-13 18:34:17,false,"Falcon Heights Running","2.62","283","00:43:45","157","173","--","145","175","16:43","11:06","139","139","0.66","0.0","--","--","--","6,324","No","00:11:08","3","00:43:44","00:43:45","890","980"
Running,2026-03-10 17:37:43,false,"Falcon Heights Running","2.32","254","00:40:58","150","167","--","140","167","17:39","11:33","145","145","0.65","0.0","--","--","--","5,748","No","00:05:50.4","3","00:40:52","00:40:58","892","955"
Running,2026-03-08 17:22:12,false,"St Paul Running","0.15","15","00:01:47.9","168","179","--","155","167","12:21","11:38","7","--","0.84","0.0","--","--","--","280","No","00:01:47.9","1","00:01:47.9","00:01:47.9","902","915"
Running,2026-03-08 16:45:07,false,"St Paul Running","2.01","223","00:28:33","158","178","--","147","180","14:14","6:28","30","57","0.77","0.0","--","--","--","4,226","No","00:00:05.5","3","00:28:32","00:30:19","883","929"
Running,2026-03-02 19:12:33,false,"Roseville Running","4.20","448","00:58:34","159","175","--","149","162","13:56","11:44","2,550","2,550","0.77","0.0","--","--","--","8,794","No","00:02:42.5","5","00:57:47","00:58:34","736","977"
